Temp,Humd,Label
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,36.0,1
25.0,36.0,1
360.0,901.0,0
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
360.0,901.0,0
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,44.0,1
25.0,48.0,1
25.0,54.0,1
26.0,57.0,1
26.0,64.0,1
26.0,67.0,1
26.0,73.0,1
27.0,75.0,1
27.0,81.0,1
28.0,82.0,1
28.0,84.0,1
28.0,85.0,1
28.0,84.0,1
28.0,84.0,1
29.0,84.0,1
29.0,85.0,1
29.0,85.0,1
29.0,85.0,1
30.0,84.0,1
30.0,84.0,1
30.0,81.0,1
30.0,80.0,1
30.0,78.0,1
30.0,77.0,1
30.0,71.0,1
30.0,71.0,1
30.0,60.0,1
30.0,58.0,1
30.0,53.0,1
30.0,52.0,1
30.0,47.0,1
30.0,42.0,1
30.0,42.0,1
29.0,42.0,1
29.0,41.0,1
29.0,40.0,1
29.0,39.0,1
29.0,38.0,1
29.0,38.0,1
29.0,37.0,1
360.0,901.0,0
87.0,673.0,0
29.0,37.0,1
28.0,37.0,1
28.0,36.0,1
28.0,36.0,1
28.0,35.0,1
28.0,35.0,1
28.0,68.0,1
28.0,68.0,1
28.0,65.0,1
28.0,64.0,1
28.0,61.0,1
28.0,61.0,1
29.0,60.0,1
29.0,55.0,1
29.0,54.0,1
29.0,51.0,1
29.0,49.0,1
360.0,901.0,0
29.0,47.0,1
29.0,47.0,1
29.0,44.0,1
29.0,44.0,1
29.0,43.0,1
28.0,42.0,1
28.0,41.0,1
28.0,41.0,1
28.0,39.0,1
28.0,39.0,1
28.0,38.0,1
28.0,38.0,1
28.0,37.0,1
28.0,37.0,1
28.0,37.0,1
28.0,37.0,1
28.0,37.0,1
None,None,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,37.0,1
26.0,39.0,1
26.0,42.0,1
26.0,49.0,1
26.0,52.0,1
360.0,901.0,0
27.0,57.0,1
27.0,58.0,1
27.0,60.0,1
27.0,62.0,1
27.0,67.0,1
27.0,69.0,1
28.0,64.0,1
28.0,63.0,1
28.0,55.0,1
28.0,54.0,1
28.0,48.0,1
28.0,48.0,1
28.0,46.0,1
28.0,45.0,1
28.0,43.0,1
360.0,901.0,0
28.0,43.0,1
28.0,42.0,1
28.0,41.0,1
28.0,40.0,1
28.0,40.0,1
360.0,901.0,0
360.0,901.0,0
28.0,39.0,1
28.0,39.0,1
28.0,38.0,1
28.0,38.0,1
28.0,38.0,1
28.0,38.0,1
28.0,37.0,1
28.0,37.0,1
28.0,37.0,1
28.0,37.0,1
27.0,38.0,1
27.0,38.0,1
27.0,37.0,1
27.0,38.0,1
27.0,38.0,1
27.0,38.0,1
27.0,37.0,1
27.0,37.0,1
27.0,37.0,1
87.0,901.0,0
27.0,37.0,1
27.0,37.0,1
27.0,37.0,1
27.0,37.0,1
27.0,37.0,1
27.0,37.0,1
27.0,37.0,1
27.0,37.0,1
27.0,37.0,1
360.0,901.0,0
360.0,673.0,0
27.0,37.0,1
27.0,37.0,1
27.0,36.0,1
27.0,37.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
360.0,901.0,0
87.0,673.0,0
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
360.0,901.0,0
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
360.0,673.0,0
87.0,901.0,0
360.0,901.0,0
360.0,901.0,0
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
87.0,901.0,0
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,73.0,1
29.0,91.0,1
27.0,88.0,1
26.0,87.0,1
27.0,85.0,1
27.0,85.0,1
27.0,82.0,1
27.0,81.0,1
27.0,78.0,1
27.0,77.0,1
27.0,73.0,1
27.0,72.0,1
27.0,69.0,1
27.0,64.0,1
26.0,60.0,1
26.0,59.0,1
26.0,55.0,1
26.0,54.0,1
26.0,52.0,1
26.0,52.0,1
26.0,49.0,1
26.0,47.0,1
26.0,47.0,1
26.0,45.0,1
26.0,45.0,1
26.0,44.0,1
26.0,44.0,1
26.0,43.0,1
26.0,43.0,1
26.0,43.0,1
26.0,42.0,1
26.0,42.0,1
26.0,42.0,1
26.0,41.0,1
26.0,41.0,1
26.0,41.0,1
26.0,40.0,1
26.0,40.0,1
26.0,40.0,1
26.0,40.0,1
26.0,40.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,39.0,1
25.0,39.0,1
25.0,39.0,1
25.0,39.0,1
25.0,39.0,1
25.0,39.0,1
25.0,39.0,1
25.0,39.0,1
25.0,39.0,1
25.0,39.0,1
25.0,39.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,38.0,1
25.0,39.0,1
25.0,42.0,1
25.0,43.0,1
25.0,47.0,1
25.0,49.0,1
26.0,53.0,1
26.0,54.0,1
26.0,58.0,1
26.0,59.0,1
27.0,62.0,1
27.0,63.0,1
27.0,65.0,1
27.0,66.0,1
28.0,66.0,1
28.0,67.0,1
28.0,68.0,1
28.0,68.0,1
28.0,68.0,1
28.0,68.0,1
28.0,68.0,1
28.0,68.0,1
29.0,67.0,1
29.0,66.0,1
29.0,65.0,1
29.0,64.0,1
29.0,61.0,1
29.0,61.0,1
29.0,59.0,1
30.0,57.0,1
30.0,50.0,1
30.0,49.0,1
30.0,47.0,1
29.0,47.0,1
29.0,45.0,1
29.0,43.0,1
28.0,37.0,1
28.0,37.0,1
28.0,37.0,1
28.0,37.0,1
28.0,36.0,1
28.0,36.0,1
28.0,36.0,1
28.0,36.0,1
28.0,36.0,1
28.0,36.0,1
28.0,35.0,1
28.0,35.0,1
28.0,35.0,1
28.0,35.0,1
28.0,35.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
27.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
360.0,673.0,0
360.0,901.0,0
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
26.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,36.0,1
25.0,37.0,1
25.0,36.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
87.0,673.0,0
360.0,901.0,0
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
143.0,901.0,0
360.0,901.0,0
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
143.0,901.0,0
360.0,901.0,0
143.0,901.0,0
360.0,901.0,0
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,42.0,1
25.0,44.0,1
26.0,57.0,1
26.0,60.0,1
26.0,68.0,1
26.0,69.0,1
27.0,73.0,1
27.0,73.0,1
27.0,74.0,1
27.0,74.0,1
28.0,73.0,1
28.0,72.0,1
28.0,69.0,1
28.0,68.0,1
28.0,63.0,1
360.0,901.0,0
28.0,61.0,1
28.0,57.0,1
28.0,55.0,1
28.0,50.0,1
28.0,49.0,1
28.0,47.0,1
28.0,47.0,1
27.0,45.0,1
27.0,45.0,1
27.0,43.0,1
27.0,43.0,1
27.0,42.0,1
27.0,42.0,1
27.0,41.0,1
27.0,41.0,1
143.0,901.0,0
27.0,41.0,1
27.0,40.0,1
27.0,40.0,1
27.0,39.0,1
27.0,39.0,1
27.0,39.0,1
27.0,39.0,1
26.0,39.0,1
26.0,39.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
26.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
None,None,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
360.0,673.0,0
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
143.0,402.0,0
360.0,901.0,0
360.0,901.0,0
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,38.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
143.0,402.0,0
54.0,402.0,0
360.0,901.0,0
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,38.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
26.0,37.0,1
26.0,37.0,1
26.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,37.0,1
25.0,43.0,1
26.0,45.0,1
26.0,52.0,1
26.0,55.0,1
360.0,402.0,0
54.0,901.0,0
26.0,61.0,1
27.0,64.0,1
27.0,72.0,1
27.0,73.0,1
28.0,75.0,1
28.0,76.0,1
28.0,76.0,1
28.0,68.0,1
29.0,66.0,1
29.0,61.0,1
29.0,59.0,1
29.0,55.0,1
29.0,53.0,1
28.0,50.0,1
28.0,48.0,1
28.0,46.0,1
28.0,45.0,1
28.0,43.0,1
